METER_NO,CATEGORY,STREET,SUBURB,MAX_STAY_HRS,RESTRICTIONS,OPERATIONAL_DAY,OPERATIONAL_TIME,TAR_ZONE,TAR_RATE_WEEKDAY,TAR_RATE_AH_WE,LOC_DESC,VEH_BAYS,MC_BAYS,MC_RATE,LONGITUDE,LATITUDE,MOBILE_ZONE,MAX_CAP_CHG
4490,TICKETLESS METER MULTISPACE ,ROBERTSON ST,FORTITUDE VALLEY,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Robertson St between End & Light St in Fortitude Valley,7,0,,153.038977,-27.458443,4000383,9.2
4491,TICKETLESS METER MULTISPACE ,ROBERTSON ST,FORTITUDE VALLEY,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Robertson St between James St & Brunswick St in Fortitude Valley,8,0,,153.037903,-27.459543,4000383,9.2
4492,TICKETLESS METER MULTISPACE ,HARRISON LANE,FORTITUDE VALLEY,4,NONE,7 DAYS,"7AM-7PM, 7PM-10PM MON-FRI, 7AM-7PM SAT,SUN","Zone 2, 15 min free",1.8,1.1,Harrison Lane between Martin St & Ivory St in Fortitude Valley,6,0,,153.036228,-27.460575,4000387,
4493,TICKETLESS METER MULTISPACE ,MARSHALL ST,FORTITUDE VALLEY,1,NONE,7 DAYS,"7AM-7PM, 7PM-10PM MON-FRI, 7AM-7PM SAT,SUN","Zone 2, 15 min free",3,1.7,Marshall St between Ann St & Mclachlan St in Fortitude Valley,3,0,,153.034544,-27.459362,4000441,
4494,TICKETLESS METER MULTISPACE ,WANDOO ST,FORTITUDE VALLEY,4,NONE,7 DAYS,"7AM-7PM, 7PM-10PM MON-FRI, 7AM-7PM SAT,SUN","Zone 2, 15 min free",1.8,1.1,Wandoo St between Doggett St & Ann St in Fortitude Valley,4,0,,153.039191,-27.45489,4000378,
4495,TICKETLESS METER MULTISPACE ,BRIDGE ST,FORTITUDE VALLEY,9,,7 DAYS,"7AM-7PM, 7PM-10PM MON-FRI, 7AM-7PM SAT,SUN","Zone 2, 15 min free",1.8,1.1,Bridge St between Wickham St & End in Fortitude Valley,4,0,,153.035686,-27.454536,4000398,9.2
4496,TICKETLESS METER MULTISPACE ,SYMES ST,BOWEN HILLS,2,NONE,7 DAYS,"7AM-10PM MON-FRI, 7AM-7PM SAT-SUN","Zone 2, 15 min free",3,1.7,Brewers St at Symes St in Bowen Hills ,10,0,,153.033719,-27.453013,4000490,
4497,TICKETLESS METER MULTISPACE ,BREWERS ST,BOWEN HILLS,2,NONE,7 DAYS,"7AM-10PM MON-FRI, 7AM-7PM SAT-SUN","Zone 2, 15 min free",3,1.7,Brewers St at Symes St in Bowen Hills ,10,0,,153.033655,-27.453087,4000490,
4499,TICKETLESS METER MULTISPACE ,EDMONDSTONE RD,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Brewers St at Symes St in Bowen Hills ,4,0,,153.04145,-27.443757,4000494,9.2
4501,TICKETLESS METER MULTISPACE ,JORDAN TCE,BOWEN HILLS,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Jordan Tce between Edmonstone Rd & Cintra Rd in Bowen Hills ,11,0,,153.04172,-27.445272,4000496,9.2
4502,TICKETLESS METER MULTISPACE ,SCANLAN ST,FORTITUDE VALLEY,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Scanlan St between End & Light St in Bowen Hills,6,0,,153.037485,-27.451338,4000372,
4503,TICKETLESS METER MULTISPACE ,PROSPECT ST,FORTITUDE VALLEY,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Prospect St between Brookes St & Light St in Bowen Hills,4,0,,153.037038,-27.452521,4000370,9.2
4504,TICKETLESS METER MULTISPACE ,PROSPECT ST,FORTITUDE VALLEY,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Prospect St between Brookes St & Light St in Bowen Hills,12,0,,153.037734,-27.451823,4000370,9.2
4505,TICKETLESS METER MULTISPACE ,PROSPECT ST,FORTITUDE VALLEY,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Prospect St between Light St & Brookes St in Bowen Hills,8,0,,153.037599,-27.451802,4000370,9.2
4506,TICKETLESS METER MULTISPACE ,PROSPECT ST,FORTITUDE VALLEY,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Prospect St between Knapp St & Light St in Bowen Hills,7,0,,153.038401,-27.451138,4000371,9.2
4507,TICKETLESS METER MULTISPACE ,PROSPECT ST,FORTITUDE VALLEY,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Prospect St between Light St & Knapp St in Bowen Hills,15,0,,153.039094,-27.450294,4000371,9.2
4509,TICKETLESS METER MULTISPACE ,KNAPP ST,FORTITUDE VALLEY,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Knapp St between Wickham St & Knapp St in Bowen Hills,9,0,,153.039921,-27.450759,4000375,9.2
4510,TICKETLESS METER MULTISPACE ,MONTPELIER RD,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Montepelier Rd between Breakfast Ck Rd & Markwell St in Bowen Hills,4,0,,153.03927,-27.448854,4000499,9.2
4511,TICKETLESS METER MULTISPACE ,MONTPELIER RD,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Montepelier Rd between Cintra Rd & Down St in Bowen Hills,2,0,,153.039634,-27.448941,4000499,9.2
4512,TICKETLESS METER MULTISPACE ,CINTRA RD,BOWEN HILLS,4,NONE,MON-FRI,9AM-4PM,"Zone 2, 15 min free",1.8,,Cintra Rd between Boyd St & Montepelier Rd in Bowen Hills,10,0,,153.038725,-27.447494,4000518,
